       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       24.34500        55.54000        11.53000        42.85000          3.69750      0.0       AE.ALN        G.ATD
       24.06000        55.75000        35.11000        26.22000          3.81000      0.1       AE.ALN       GE.ZKR
       24.06000        55.75000        23.52000        45.50000          3.77000      0.1       AE.ALN      II.RAYN
       24.06000        55.75000        33.43000        59.02000          3.66000      0.1       AE.ALN      IR.AFRZ
       24.06000        55.75000        27.67000        54.37000          3.58000      0.1       AE.ALN      IR.LAR1
       24.06000        55.75000        35.27000        60.33000          3.39000      0.1       AE.ALN      IR.TBJM
       24.06000        55.75000        31.53000        34.92000          3.68000      0.1       AE.ALN      IS.AMAZ
       24.06000        55.75000        30.04000        35.03000          3.73000      0.1       AE.ALN      IS.HRFI
       24.06000        55.75000        30.91000        34.40000          3.72000      0.1       AE.ALN      IS.KZIT
       24.06000        55.75000        32.82333        35.41000          3.60000      0.2       AE.ALN     IS.MMA0B
       24.06000        55.75000        34.54000        69.04000          3.32000      0.1       AE.ALN       IU.KBL
       24.06000        55.75000        41.45000        41.62000          3.08000      0.1       AE.ALN       KO.BCA
       24.06000        55.75000        40.26000        28.34000          3.59000      0.1       AE.ALN      KO.KCTX
       24.06000        55.75000        38.38000        39.31000          3.44000      0.1       AE.ALN      KO.SVRC
       24.06000        55.75000        38.66000        69.16000          3.82000      0.1       AE.ALN      TJ.CHGR
       24.06000        55.75000        39.00000        70.32000          3.37000      0.1       AE.ALN      TJ.GARM
       24.06000        55.75000        37.53000        71.66000          3.31000      0.1       AE.ALN     TJ.MANEM
       24.06000        55.75000        24.07000        51.69000          3.75000      0.1       AE.ALN      UE.SLWR
       24.94000        52.85000        29.14000        58.45000          3.69000      0.1       AE.JRN      IR.KBAM
       24.94000        52.85000        34.27000        47.04000          3.16000      0.1       AE.JRN      IR.KCHF
       24.94000        52.85000        29.49000        60.87000          3.60000      0.1       AE.JRN      IR.SZD1
       24.94000        52.85000        33.01000        35.40000          3.17000      0.1       AE.JRN      IS.MMB2
       24.94000        52.85000        39.37000        33.71000          3.25000      0.1       AE.JRN      KO.KAMT
       24.94000        52.85000        38.55000        30.55000          3.72000      0.1       AE.JRN      KO.SHUT
       24.94000        52.85000        39.64000        35.32000          3.21000      0.1       AE.JRN       KO.YOZ
       24.94000        52.85000        37.56000        68.12000          3.57000      0.1       AE.JRN      TJ.SHAA
       25.25800        56.22400        36.65000        25.48800          3.72800      0.0       AE.MSF       GE.APE
