       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       28.86400        51.29500        35.82995        51.25760          2.81782      0.1      IB.AHRM      IB.CHTH
       24.06000        55.75000        24.94000        52.85000          2.57000      0.1       AE.ALN       AE.JRN
       24.06000        55.75000        25.37000        56.16000          2.88501      0.1       AE.ALN       AE.MSF
       24.06000        55.75000        26.05000        56.14000          2.99501      0.1       AE.ALN       AE.SHM
       24.06000        55.75000        25.53000        55.66000          2.52000      0.1       AE.ALN       AE.UMQ
       24.34500        55.54000        11.53000        42.85000          2.85501      0.0       AE.ALN        G.ATD
       24.06000        55.75000        36.72000        25.49500          2.51750      0.2       AE.ALN       GE.APE
       24.25000        55.61000        35.11667        33.23333          2.65001      0.1       AE.ALN       GE.CSS
       24.06000        55.75000        29.85500        34.99000          2.84001      0.1       AE.ALN       GE.EIL
       24.06000        55.75000        34.53000        69.08500          2.85751      0.2       AE.ALN       GE.KBU
       24.06000        55.75000        36.37000        25.46000          2.68001      0.1       AE.ALN      GE.SANT
       24.06000        55.75000        12.19000        53.99000          3.17001      0.1       AE.ALN      GE.SOCY
       24.06000        55.75000        35.11000        26.22000          2.57500      0.1       AE.ALN       GE.ZKR
       24.06000        55.75000        41.41000        43.49000          2.74001      0.1       AE.ALN       GO.AKH
       24.06000        55.75000        42.59000        43.45000          2.74001      0.1       AE.ALN       GO.ONI
       24.25000        55.61000        36.58667        28.11667          2.76667      0.5       AE.ALN       HL.ARG
       24.06000        55.75000        41.15000        25.54000          2.64501      0.1       AE.ALN       HL.RDO
       24.25000        55.61000        40.74667        25.83000          2.63834      0.0       AE.ALN       HT.ALN
       24.06000        55.75000        28.86000        51.30000          2.44000      0.1       AE.ALN      IB.AHRM
       24.06000        55.75000        32.80000        52.81000          2.62001      0.1       AE.ALN      IB.NASN
       24.06000        55.75000        43.96000        42.69000          2.63001      0.1       AE.ALN       II.KIV
       24.06000        55.75000        23.52000        45.50000          2.62501      0.1       AE.ALN      II.RAYN
       24.06000        55.75000        30.60000        50.25000          2.45000      0.1       AE.ALN      IR.ABH1
       24.06000        55.75000        33.43000        59.02000          3.06001      0.1       AE.ALN      IR.AFRZ
       24.06000        55.75000        31.67000        49.29000          2.44500      0.1       AE.ALN      IR.AMIS
       24.06000        55.75000        33.19000        53.73000          2.84501      0.1       AE.ALN      IR.ANAR
       24.06000        55.75000        34.32500        47.68500          2.58500      0.1       AE.ALN       IR.BZA
       24.06000        55.75000        29.86000        57.54000          2.88501      0.1       AE.ALN      IR.CHMN
       24.06000        55.75000        37.56000        49.09000          2.76001      0.1       AE.ALN      IR.CSN1
       24.06000        55.75000        32.68000        47.28000          2.44000      0.1       AE.ALN      IR.DHL1
       24.06000        55.75000        34.81000        46.67500          2.44500      0.0       AE.ALN       IR.DHR
       24.06000        55.75000        33.79000        48.18000          2.55500      0.1       AE.ALN       IR.DOB
       24.06000        55.75000        27.40000        56.17000          2.59500      0.1       AE.ALN      IR.GENO
       24.06000        55.75000        34.82000        49.14000          2.59000      0.1       AE.ALN      IR.HAGD
       24.06000        55.75000        34.21000        48.60000          2.58000      0.1       AE.ALN      IR.HSAM
       24.06000        55.75000        35.44000        51.28000          2.69501      0.1       AE.ALN       IR.HSB
       24.06000        55.75000        35.24000        48.28000          2.63001      0.1       AE.ALN      IR.HSRG
       24.06000        55.75000        28.50000        53.58000          2.37000      0.1       AE.ALN      IR.JHRM
