       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       28.86400        51.29500        35.90800        51.12600          2.66000      0.2      IB.AHRM      IB.CHTH
       24.06000        55.75000        24.94000        52.85000          2.40500      0.2       AE.ALN       AE.JRN
       24.06000        55.75000        25.37000        56.16000          2.80500      0.2       AE.ALN       AE.MSF
       24.06000        55.75000        26.05000        56.14000          2.85000      0.2       AE.ALN       AE.SHM
       24.06000        55.75000        25.53000        55.66000          2.52000      0.2       AE.ALN       AE.UMQ
       24.06000        55.75000        24.63000        55.33000          2.25000      0.2       AE.ALN       DN.ASU
       24.06000        55.75000        41.76000        44.80000          3.08000      0.2       AE.ALN      GO.SEAG
       24.34500        55.54000        36.47000        27.85000          2.64500      0.1       AE.ALN       HL.ARG
       24.06000        55.75000        41.15000        25.54000          2.41000      0.2       AE.ALN       HL.RDO
       24.06000        55.75000        32.80000        52.81000          2.59000      0.2       AE.ALN      IB.NASN
       24.06000        55.75000        23.52000        45.50000          2.50000      0.2       AE.ALN      II.RAYN
       24.06000        55.75000        33.43000        59.02000          2.81000      0.2       AE.ALN      IR.AFRZ
       24.06000        55.75000        34.47000        47.86000          2.55500      0.2       AE.ALN       IR.BZA
       24.06000        55.75000        29.86000        57.54000          2.62000      0.2       AE.ALN      IR.CHMN
       24.06000        55.75000        34.81000        46.67500          2.55000      0.0       AE.ALN       IR.DHR
       24.06000        55.75000        33.79000        48.18000          2.44000      0.2       AE.ALN       IR.DOB
       24.06000        55.75000        27.40000        56.17000          2.60500      0.2       AE.ALN      IR.GENO
       24.06000        55.75000        34.21000        48.60000          2.56500      0.2       AE.ALN      IR.HSAM
       24.06000        55.75000        36.71000        49.80000          2.64000      0.2       AE.ALN      IR.JIR1
       24.06000        55.75000        30.38000        56.48000          2.46500      0.2       AE.ALN      IR.KHGB
       24.06000        55.75000        31.01000        51.59000          2.38000      0.2       AE.ALN      IR.KLNJ
       24.06000        55.75000        33.97000        52.14000          2.59500      0.2       AE.ALN      IR.KRSH
       24.06000        55.75000        27.67000        54.37000          2.04500      0.2       AE.ALN      IR.LAR1
