       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       28.86400        51.29500        35.90800        51.12600          2.28000      0.3      IB.AHRM      IB.CHTH
       24.06000        55.75000        25.37000        56.16000          2.87000      0.3       AE.ALN       AE.MSF
       24.06000        55.75000        26.05000        56.14000          2.71000      0.3       AE.ALN       AE.SHM
       24.06000        55.75000        27.40000        56.17000          2.20000      0.3       AE.ALN      IR.GENO
       24.06000        55.75000        27.67000        54.37000          2.65000      0.3       AE.ALN      IR.LAR1
       24.06000        55.75000        38.89000        39.39000          2.66000      0.3       AE.ALN       KO.PTK
       24.06000        55.75000        25.30000        56.30000          2.62000      0.3       AE.ALN       OM.MDH
       24.06000        55.75000        22.71000        55.16000          1.91500      0.3       AE.ALN      UE.UMZA
       24.94000        52.85000        36.21000        28.12000          2.18000      0.3       AE.JRN       HL.ARG
       24.94000        52.85000        24.95000        56.20000          2.07000      0.3       AE.JRN      II.UOSS
       24.94000        52.85000        27.45000        56.54000          2.77000      0.3       AE.JRN       IR.BNB
       24.94000        52.85000        28.50000        53.58000          2.29000      0.3       AE.JRN      IR.JHRM
       24.94000        52.85000        27.67000        54.37000          2.38000      0.3       AE.JRN      IR.LAR1
       24.94000        52.85000        27.34000        53.16000          2.40000      0.3       AE.JRN      IR.LMD1
       24.94000        52.85000        29.64000        52.52000          2.32500      0.3       AE.JRN       IR.SHI
       24.94000        52.85000        38.99000        40.68000          2.14000      0.3       AE.JRN      KO.BNGB
       25.37000        56.16000        26.05000        56.14000          3.12000      0.3       AE.MSF       AE.SHM
       25.37000        56.16000        24.95000        56.20000          2.64500      0.3       AE.MSF      II.UOSS
       25.37000        56.16000        25.64000        57.77000          2.27000      0.3       AE.MSF      IR.JSK1
       25.37000        56.16000        27.67000        54.37000          2.89000      0.3       AE.MSF      IR.LAR1
       25.37000        56.16000        37.92000        30.04000          2.59000      0.3       AE.MSF      KO.BASM
       25.37000        56.16000        36.73000        27.58000          2.15000      0.3       AE.MSF       KO.DAT
       25.37000        56.16000        39.04000        29.41000          2.64000      0.3       AE.MSF      KO.GEDZ
       25.37000        56.16000        23.76000        53.88000          1.98000      0.3       AE.MSF      UE.MZWR
       26.05000        56.14000        25.53000        55.66000          2.11500      0.3       AE.SHM       AE.UMQ
       26.05000        56.14000        24.95000        56.20000          2.49000      0.3       AE.SHM      II.UOSS
       26.05000        56.14000        31.33000        48.64000          2.63000      0.3       AE.SHM      IR.AHWZ
       26.05000        56.14000        31.67000        49.29000          2.56500      0.3       AE.SHM      IR.AMIS
       26.05000        56.14000        25.64000        57.77000          2.19000      0.3       AE.SHM      IR.JSK1
       26.05000        56.14000        27.34000        53.16000          2.49000      0.3       AE.SHM      IR.LMD1
       26.05000        56.14000        35.75000        51.39000          2.81000      0.3       AE.SHM       IR.TEH
       26.05000        56.14000        29.36000        34.96000          2.13000      0.3       AE.SHM      JS.DRHJ
       25.53000        55.66000        24.95000        56.20000          2.62000      0.3       AE.UMQ      II.UOSS
       25.53000        55.66000        29.86000        57.54000          2.28000      0.3       AE.UMQ      IR.CHMN
       25.53000        55.66000        29.14000        58.45000          1.98000      0.3       AE.UMQ      IR.KBAM
       25.53000        55.66000        29.64000        52.52000          2.72000      0.3       AE.UMQ       IR.SHI
       25.53000        55.66000        29.40000        60.81000          2.24000      0.3       AE.UMQ      IR.ZHDN
       25.53000        55.66000        32.73000        35.41000          1.90000      0.2       AE.UMQ     IS.MMA0B
       25.53000        55.66000        32.44000        35.42000          2.04000      0.3       AE.UMQ      IS.MMLI
       25.53000        55.66000        41.25000        29.04000          2.65000      0.3       AE.UMQ      KO.KLYT
       25.53000        55.66000        37.50000        42.44000          2.37000      0.3       AE.UMQ      KO.SIRT
       25.53000        55.66000        24.07000        51.69000          2.87000      0.3       AE.UMQ      UE.SLWR
        9.03000        38.77000         9.58000        39.74000          2.73000      0.3      AF.AAUS      AF.ANKE
        9.03250        38.76850        11.11900        39.63255          2.71000      0.0      AF.AAUS      AF.DESE
        8.96505        38.72315        41.60400        41.69360          2.60500      0.2      AF.AAUS      GO.BATM
        9.03000        38.77000        33.01250        35.40750          2.06750      0.0      AF.AAUS      IS.MMA2
        9.03000        38.77000        36.96000        32.49000          2.50000      0.3      AF.AAUS      KO.HDMB
        8.95417        38.71750        40.68667        30.32000          2.04167      0.5      AF.AAUS      KO.SAUV
        9.03000        38.77000        37.78000        33.74000          2.18000      0.3      AF.AAUS      KO.YESY
        9.03000        38.77000        39.48000        71.80000          2.64500      0.3      AF.AAUS       KR.DRK
        8.96500        38.72500        13.73000        44.74000          2.55750      0.0      AF.AAUS      XW.DALA
        8.96500        38.72500        19.09000        56.55000          2.13500      0.6      AF.AAUS      XW.GBRA
        8.96500        38.72500        15.39000        48.97500          2.47000      0.1      AF.AAUS      XW.SAAH
        9.03000        38.77000        16.14000        49.29000          2.72000      0.3      AF.AAUS      XW.SAUM
        9.03000        38.77000        15.73000        43.02000          2.34000      0.3      AF.AAUS      XW.ZUWA
        8.98667        38.74000        40.36778        30.32778          2.23722      0.3      AF.AAUS      YH.DB03
        8.96260        38.72490        39.74150        34.34900          2.52000      0.7      AF.AAUS      YL.GOCE
        8.94013        38.70987        41.37367        33.59033          2.65667      0.6      AF.AAUS      YL.HASA
        9.03000        38.77000        40.28000        32.88000          2.42000      0.3      AF.AAUS      YL.KAVA
        8.97608        38.73392        31.20128        35.50796          2.23300      0.5      AF.AAUS      Z4.IB11
        9.03000        38.77000        12.07000        40.07000          2.60000      0.3      AF.AAUS      ZE.AWEE
        9.03000        38.77000        12.64000        40.36000          2.59000      0.3      AF.AAUS      ZE.BARE
        8.98667        38.74000        12.17000        41.19000          2.41167      0.2      AF.AAUS      ZE.BERE
        9.03000        38.77000        11.60000        40.02000          3.04000      0.3      AF.AAUS      ZE.CHIE
        9.03000        38.77000        12.33000        40.27000          2.52500      0.3      AF.AAUS      ZE.DIGE
        8.96500        38.72500        12.84000        40.98000          2.57500      0.3      AF.AAUS      ZE.RODE
        9.03000        38.77000        11.79000        41.00000          2.34000      0.3      AF.AAUS      ZE.SEME
        8.96500        38.72500        12.41000        41.19000          2.48750      0.0      AF.AAUS      ZE.SILE
        9.03000        38.77000        12.48000        40.32000          2.82000      0.3      AF.AAUS      ZE.TRUE
        9.03000        38.77000         8.99000        40.17000          2.36500      0.3      AF.AAUS      ZF.AWSE
        9.03000        38.77000        13.45000        40.50000          3.07000      0.3      AF.AAUS      ZF.ERTE
        9.03000        38.77000        10.43000        39.93000          2.73000      0.3      AF.AAUS      ZF.KORE
        8.96500        38.72500        12.05000        41.93000          2.78500      0.3      AF.AAUS      ZF.LYDE
        9.03000        38.77000        12.78000        39.53000          2.53000      0.3      AF.AAUS      ZF.MAYE
        9.03000        38.77000         9.24000        40.76000          2.42000      0.3      AF.AAUS      ZF.MISE
        9.03000        38.77000        11.51000        39.61000          2.69000      0.3      AF.AAUS      ZF.WUCE
        9.03000        38.77000        11.86000        38.00000          2.63000      0.3      AF.AAUS      ZF.YAYE
        9.03000        38.77000        11.74000        41.30000          2.78000      0.3      AF.AAUS      ZK.AD11
        9.03000        38.77000        11.95000        41.38000          2.68000      0.1      AF.AAUS      ZK.AD13
        9.03000        38.77000        11.94000        41.45000          2.75000      0.3      AF.AAUS      ZK.AD14
        9.03000        38.77000        11.74000        41.84000          3.12000      0.3      AF.AAUS      ZK.AD17
        9.03000        38.77000        11.99000        40.70000          2.24000      0.3      AF.AAUS      ZR.LULE
        9.58000        39.74000        11.12000        39.63000          2.81500      0.3      AF.ANKE      AF.DESE
        9.58000        39.74000        29.67000        34.95000          1.90000      0.3      AF.ANKE       GE.EIL
        9.58000        39.74000        41.76000        44.80000          2.75000      0.3      AF.ANKE      GO.SEAG
        9.58270        39.74180        29.98200        56.76100          2.68000      0.3      AF.ANKE      IB.KRBR
        9.58270        39.74180        32.10800        48.80100          2.53000      0.3      AF.ANKE      IB.SHGR
        9.58000        39.74000        36.68000        45.05000          1.98000      0.3      AF.ANKE      IQ.KEHH
        9.58270        39.74180        35.43790        51.27580          2.42000      0.3      AF.ANKE       IR.HSB
        9.58270        39.74180        25.63790        57.77010          2.78000      0.3      AF.ANKE      IR.JSK1
        9.58270        39.74180        27.10610        57.09980          2.81000      0.3      AF.ANKE      IR.MNB1
        9.58000        39.74000         8.90000        38.68000          2.83000      0.3      AF.ANKE      IU.FURI
        9.58135        39.74090        39.40960        33.39120          2.46500      0.2      AF.ANKE      KO.AFSR
        9.58000        39.74000        38.33000        42.98000          2.40000      0.3      AF.ANKE      KO.AKDM
       10.21750        39.88250        41.17250        33.57750          2.10250      0.4      AF.ANKE      KO.CANT
        9.58000        39.74000        40.74000        26.15000          2.46000      0.3      AF.ANKE      KO.ENEZ
        9.58000        39.74000        40.19000        25.90000          2.35000      0.3      AF.ANKE      KO.GADA
        9.58000        39.74000        40.77182        30.03273          2.01682      0.5      AF.ANKE      KO.HRTX
        9.58000        39.74000        36.24000        33.69000          1.93000      0.3      AF.ANKE       KO.IKL
        9.58270        39.74180        38.88080        31.71630          1.89000      0.3      AF.ANKE      KO.KIZT
        9.68625        39.76375        40.45875        30.56625          1.98062      0.4      AF.ANKE      KO.MDUB
       10.00635        39.83590        39.90880        34.97260          2.50000      0.4      AF.ANKE       KO.YOZ
        9.58000        39.74000        40.06000        70.82000          2.33000      0.3      AF.ANKE       KR.BTK
        9.58000        39.74000        40.39000        69.67000          2.56000      0.3      AF.ANKE     TJ.CHRDR
        9.58000        39.74000        38.22000        69.33000          2.87000      0.3      AF.ANKE      TJ.IGRN
        9.58000        39.74000        13.55000        44.84000          2.44000      0.3      AF.ANKE      XW.ADBA
        9.58000        39.74000        12.78000        44.98000          2.87000      0.3      AF.ANKE      XW.ADEN
        9.58000        39.74000        18.97000        55.97000          2.50000      0.3      AF.ANKE      XW.BSRN
        9.58000        39.74000        15.13000        44.27000          2.26000      0.3      AF.ANKE      XW.DABI
        9.58000        39.74000        13.27000        44.76000          2.44000      0.3      AF.ANKE      XW.DKUM
        9.58000        39.74000        13.12000        43.87000          2.37000      0.3      AF.ANKE      XW.HAKI
        9.58000        39.74000        13.31000        43.26000          2.71000      0.3      AF.ANKE      XW.MOKA
        9.58000        39.74000        18.83000        56.32000          1.99000      0.3      AF.ANKE      XW.RIMA
        9.58000        39.74000        15.22000        51.25000          2.62000      0.3      AF.ANKE      XW.SAYT
        9.58000        39.74000        40.44857        30.22571          2.17286      0.2      AF.ANKE      YH.DA02
        9.58000        39.74000        40.80500        30.71000          2.23500      0.3      AF.ANKE      YH.DF08
        9.58000        39.74000        11.60000        40.02000          2.94000      0.3      AF.ANKE      ZE.CHIE
        9.58000        39.74000        11.42000        40.77000          2.79500      0.5      AF.ANKE      ZE.MILE
        9.58000        39.74000        12.84000        40.98000          2.79500      0.3      AF.ANKE      ZE.RODE
        9.58000        39.74000        12.41000        41.19000          2.48500      0.3      AF.ANKE      ZE.SILE
        9.58000        39.74000        13.35000        39.76000          3.00000      0.3      AF.ANKE      ZF.ABAE
        9.58000        39.74000        11.12000        40.76000          2.84000      0.3      AF.ANKE      ZF.ADTE
        9.58000        39.74000        13.63000        38.98000          2.58500      0.3      AF.ANKE      ZF.ADYE
        9.58000        39.74000        10.89000        39.17000          2.71000      0.3      AF.ANKE      ZF.AKEE
        9.58000        39.74000         8.99000        40.17000          2.49000      0.3      AF.ANKE      ZF.AWSE
        9.58000        39.74000        11.19000        40.02000          2.36000      0.3      AF.ANKE      ZF.BTIE
        9.58000        39.74000        11.91000        41.57000          2.20000      0.3      AF.ANKE      ZF.DICE
        9.58000        39.74000        11.68000        38.92000          2.79500      0.3      AF.ANKE      ZF.GASE
        9.58000        39.74000         9.31000        42.10000          2.55000      0.3      AF.ANKE      ZF.HYNE
        9.58000        39.74000        12.15000        39.63000          2.34000      0.3      AF.ANKE      ZF.KOBE
        9.58000        39.74000        12.03000        39.04000          2.58000      0.3      AF.ANKE      ZF.LALE
        9.58000        39.74000        12.78000        39.53000          2.47500      0.0      AF.ANKE      ZF.MAYE
        9.58000        39.74000         9.38000        41.47000          2.50500      0.3      AF.ANKE      ZF.QATE
        9.58000        39.74000        12.62000        39.03000          2.76000      0.3      AF.ANKE      ZF.SEKE
        9.58000        39.74000        11.86000        38.00000          2.47500      0.3      AF.ANKE      ZF.YAYE
        9.58000        39.74000        11.32000        40.57000          3.00000      0.3      AF.ANKE      ZK.AD01
        9.58000        39.74000        11.35000        40.69000          2.73000      0.3      AF.ANKE      ZK.AD02
        9.58000        39.74000        11.54000        40.84000          2.99000      0.3      AF.ANKE      ZK.AD04
        9.58000        39.74000        11.68500        40.95000          2.51000      0.4      AF.ANKE      ZK.AD06
        9.58000        39.74000        11.78500        41.01500          2.31750      0.0      AF.ANKE      ZK.AD08
        9.58000        39.74000        11.85000        41.73000          2.20500      0.0      AF.ANKE      ZK.AD15
        9.58000        39.74000        13.10000        40.32000          2.92000      0.3      AF.ANKE      ZR.HITE
        9.58000        39.74000        12.49000        40.98000          2.68500      0.3      AF.ANKE      ZR.KOZE
        9.58000        39.74000        11.99000        40.70000          2.63000      0.3      AF.ANKE      ZR.LULE
        9.58000        39.74000        12.04000        40.98000          2.19000      0.3      AF.ANKE      ZR.SAHE
       11.12000        39.63000        11.53000        42.85000          2.42000      0.3      AF.DESE        G.ATD
       11.12000        39.63333        14.61667        44.37667          2.30667      0.1      AF.DESE      GE.DAMY
       11.11900        39.63250        41.44790        45.74415          2.00250      0.5      AF.DESE      GO.DDFL
