,Station,Latitude,Longitude
169,IS.MMC1,33.0263,35.39815
170,IS.MMC2,33.03,35.41
171,IS.MMC3,33.03078,35.42188
172,IS.MMC4,33.01,35.42
173,IS.MMC5,33.0087,35.4127
174,IS.MMC6,33.012,35.3915
175,IS.MMC7,33.0221,35.3926
176,IS.MMLI,32.44,35.42
177,IU.ANTO,39.88,32.775
178,IU.FURI,8.9,38.68
179,IU.GNI,40.15,44.74
180,IU.KBL,34.54,69.04
181,JS.AQBJ,29.728,35.05
182,JS.DRHJ,29.358,34.962
183,JS.KARJ,32.0,35.58
184,JS.QRNJ,32.355,35.575
185,KO.ADVT,40.43,29.74
186,KO.AFSR,39.4096,33.3912
187,KO.AGRB,39.5755,42.992
188,KO.AKDM,38.33,42.98
189,KO.ANTB,36.9,30.65
190,KO.ARMT,40.66667,28.93667
191,KO.AYDB,37.95,27.89
192,KO.BALB,39.64,27.88
193,KO.BASM,37.9194,30.035
194,KO.BAYT,40.39,40.14
195,KO.BCA,41.45,41.62
196,KO.BCK,37.46,30.59
197,KO.BGKT,41.18,28.77
198,KO.BLCB,38.38765,27.041
199,KO.BNGB,38.99,40.68
200,KO.BNN,38.85,35.85
201,KO.BODT,37.0622,27.3103
202,KO.BZK,41.96,34.0
203,KO.CANT,40.61,33.62
204,KO.CAVI,40.2,29.84
205,KO.CEYT,37.0107,35.7478
206,KO.CHBY,38.58,32.89
207,KO.CHOM,41.097,40.7612
208,KO.CLDR,39.14,43.92
209,KO.CORM,40.18,34.63
210,KO.CRLT,41.13,27.74
211,KO.CTKS,41.24,28.51
212,KO.CTYL,41.476,28.2897
213,KO.CUKT,37.2473,43.6077
214,KO.DALY,36.82,28.65
215,KO.DARE,38.5712,37.4832
216,KO.DAT,36.73,27.58
217,KO.DIKM,41.65,35.26
218,KO.DKL,39.0713,26.9053
219,KO.DYBB,37.9532,40.1393
220,KO.EDC,40.35,27.86
221,KO.EDRB,41.85,26.74
222,KO.ELL,36.7483,29.9085
223,KO.ENEZ,40.74,26.15
224,KO.EREN,35.53,34.17
225,KO.ERIK,40.535,26.49
226,KO.ERZN,39.59,39.72
227,KO.ESPY,40.9167,38.7273
228,KO.EZN,39.8267,26.3258
229,KO.FETY,36.64,29.08
230,KO.GADA,40.19,25.9
231,KO.GAZ,37.1722,37.2113
232,KO.GEDZ,39.04,29.41
233,KO.GELI,40.4,26.47
234,KO.GEMT,40.435,29.189
235,KO.GULA,38.34,34.24
236,KO.GULT,40.51708,30.41658
237,KO.GURO,38.55,42.03
238,KO.HDMB,36.96,32.49
239,KO.HRTX,40.8,29.67
240,KO.IKL,36.2387,33.6852
241,KO.ILIC,39.45,38.57
242,KO.ISK,41.1275,29.053729999999998
243,KO.KAMT,39.3692,33.7124
244,KO.KARA,37.2607,35.0547
245,KO.KARO,39.3089,41.0493
246,KO.KARS,40.62,43.09
247,KO.KAVV,41.06,29.06
248,KO.KCTX,40.26,28.34
249,KO.KDZE,41.31,31.44
250,KO.KIZT,38.8808,31.7163
251,KO.KLYT,41.253,29.042
252,KO.KMRS,37.5053,36.9
253,KO.KONT,37.9453,32.3605
254,KO.KOPR,39.99,41.85
255,KO.KOZT,37.48,35.83
256,KO.KRBG,40.39,27.3
257,KO.KRTS,36.57,35.38
258,KO.KTUT,40.99,39.77
259,KO.KULA,38.5145,28.6607
260,KO.KULU,39.03,33.0
261,KO.KURC,41.85,32.74
262,KO.KVT,41.08,36.05
263,KO.LADK,38.2,32.36
264,KO.LAP,40.37,26.76
265,KO.LEF,35.11,32.84
266,KO.LFK,35.28,33.53
267,KO.LOD,39.89,32.76
268,KO.MALT,38.3134,38.4273
269,KO.MAZI,37.46,40.45
270,KO.MDNY,40.37,28.88
271,KO.MDUB,40.47,31.2
272,KO.MERS,36.87,34.52
273,KO.MLAZ,39.14,42.55
274,KO.MLSB,37.2953,27.7767
275,KO.MRMT,40.609,27.5832
276,KO.PHSR,41.63,27.52
277,KO.PTK,38.89,39.39
278,KO.RKY,40.6875,27.1777
279,KO.RSDY,40.4025,37.2795
280,KO.SARI,38.41,36.42
281,KO.SAUV,40.71857,30.33571
282,KO.SENK,40.56,42.35
283,KO.SERE,38.943329999999996,33.72667
284,KO.SHUT,38.55,30.55
285,KO.SILT,41.15,29.64
286,KO.SIMA,39.0833,28.9825
287,KO.SIRT,37.5,42.44
288,KO.SLVT,41.23,28.21
