,Station,Latitude,Longitude
746,YL.ALIC,40.978,33.487
747,YL.ALIN,41.061,32.879
748,YL.ALOR,41.301,32.87
749,YL.ARSL,40.955,35.887
750,YL.BAGB,40.278,36.41
751,YL.BEDI,41.295,33.5355
752,YL.BEKI,41.315,34.263
753,YL.BOKE,40.4965,36.2295
754,YL.CAKM,40.015,37.367
755,YL.CALT,41.328,35.125
756,YL.CAYA,40.055,34.31
757,YL.CRLU,40.064,34.357
758,YL.CUKU,40.604,33.441
759,YL.DERE,41.477,35.064
760,YL.DOGL,40.261,35.3
761,YL.DUMA,40.803,35.1925
762,YL.EKIN,41.147,35.787
763,YL.GOCE,39.74,34.35
764,YL.HASA,41.47,33.56
765,YL.INCE,40.581,32.906
766,YL.INSU,39.84,35.37
767,YL.ISKE,40.76,37.07
768,YL.KARA,40.688,35.245
769,YL.KARG,40.29,33.55
770,YL.KAVA,40.28,32.878
771,YL.KGAC,40.941,34.323
772,YL.KIYI,40.13,35.32
773,YL.KIZIK,40.05,36.54
774,YL.KUYL,41.59,34.332
775,YL.KUZA,40.441,36.248
776,YL.KUZO,40.88,32.8805
777,YL.OGUR,41.109,35.165
778,YL.PANC,40.647,34.301
779,YL.PELI,41.113,34.299
780,YL.SEYH,40.856,32.9
781,YL.SYUN,40.838,33.529
782,YL.TEPE,41.369,35.743
783,YL.YESI,40.405,37.229
784,YL.YIKI,40.75,35.95
785,YR.ABAY,12.6045,54.3228
786,YR.ALE,9.4214,42.0347
787,YR.DSS,11.12,39.64
788,YR.GDR,12.559,37.454
789,YR.QALY,12.62712,54.1141
790,YR.SAY,15.38609,44.20888
791,YZ.TERE,12.38107,40.2848
792,Z4.IB09,31.17111,35.477779999999996
793,Z4.IB11,31.2201,35.494170000000004
794,Z4.IB13,31.115,35.41144
795,Z4.IB15,31.14129,35.421209999999995
796,Z4.IB17,31.195,35.4925
797,Z4.IB19,31.26,35.41
798,Z4.IB21,31.2,35.496
799,Z4.IB22,31.1563,35.3964
800,Z4.IB25,31.1302,35.3636
801,Z4.IB31,31.33887,35.38517
802,Z4.IB36,30.93,35.39
803,Z4.IB38,31.4103,35.520959999999995
804,Z4.IB44,31.6,35.42
805,Z4.JB01,31.259529999999998,35.4623
806,Z4.JB02,31.265,35.56
807,Z4.JB04,31.2613,35.4853
808,Z4.JB07,31.21967,35.54537
809,Z4.JB10,31.34,35.49
810,Z4.JB12,31.3725,35.5002
811,Z4.JB15,31.25,35.54
812,Z4.JB18,31.22575,35.6458
813,Z4.JB19,31.1442,35.49878
814,Z4.JB21,31.295,35.67
815,Z4.JB25,31.16582,35.5771
816,Z4.JB29,31.3,35.57
817,Z4.JB37,31.39,35.67
818,Z4.JB39,31.1947,35.6076
819,Z4.JB41,31.27,35.54
820,Z4.JB42,31.2506,35.472
821,ZE.AFME,13.2,40.86
822,ZE.ALEE,12.41,40.6
823,ZE.AWEE,12.07,40.07
824,ZE.BARE,12.64,40.36
825,ZE.BERE,12.17,41.19
826,ZE.BREE,12.17,41.19
827,ZE.CHIE,11.6,40.02
828,ZE.DAME,11.69,40.96
829,ZE.DIGE,12.33,40.27
830,ZE.FINE,12.07,40.32
831,ZE.HARE,11.61,40.895
832,ZE.MEGE,11.50125,41.033120000000004
833,ZE.MILE,11.42,40.77
834,ZE.RODE,12.84,40.98
835,ZE.SEHE,12.04,40.98
836,ZE.SEME,11.795,41.02
837,ZE.SILE,12.065,41.60625
838,ZE.SULE,12.79,41.06
839,ZE.TRUE,12.48,40.32
840,ZF.ABAE,13.35,39.76
841,ZF.ADTE,11.12,40.76
842,ZF.ADYE,13.63,38.98
843,ZF.AFRE,13.15,40.59
844,ZF.AKEE,10.89,39.17
845,ZF.ASYE,11.56,41.44
846,ZF.AWSE,8.99,40.17
847,ZF.BOBE,10.38,42.57
848,ZF.BTIE,11.265,40.2975
849,ZF.DERE,11.4,39.28
850,ZF.DICE,11.7,41.455
851,ZF.ELLE,11.26,40.38
852,ZF.ERTE,13.45,40.5
853,ZF.GASE,11.68,38.92
854,ZF.GEWE,10.0,40.57
855,ZF.HALE,13.84,40.01
856,ZF.HYNE,9.31,42.1
857,ZF.KOBE,12.15,39.63
858,ZF.KORE,10.43,39.93
859,ZF.LALE,12.03,39.04
860,ZF.LYDE,12.05,41.93
861,ZF.MAYE,12.78,39.53
862,ZF.MISE,9.24,40.76
863,ZF.QATE,9.38,41.47
864,ZF.SEKE,12.62,39.03
865,ZF.SMEE,11.79,41.0
866,ZF.SMRE,13.2,39.21
867,ZF.SRDE,11.96,41.31
868,ZF.WLDE,11.82,39.59
869,ZF.WUCE,11.51,39.61
870,ZF.YAYE,11.86,38.0
871,ZK.AD01,11.335,40.63
872,ZK.AD02,11.35,40.69
873,ZK.AD03,11.702860000000001,40.92714
874,ZK.AD04,11.59556,40.9
875,ZK.AD05,11.7,40.955
876,ZK.AD06,11.79,41.3575
877,ZK.AD07,11.74,41.22667
878,ZK.AD08,11.91,41.005
879,ZK.AD09,11.82,41.05
880,ZK.AD10,11.9,41.14
881,ZK.AD11,11.74,41.3
882,ZK.AD13,11.935,41.55
883,ZK.AD14,11.94,41.45
884,ZK.AD15,11.85,41.73
885,ZK.AD16,11.82,41.75
886,ZK.AD17,11.74,41.84
887,ZK.AD18,11.91,41.79
888,ZK.AD19,12.05,41.93
889,ZR.ABAE,13.35,39.76
890,ZR.AFME,13.2,40.86
891,ZR.AHME,14.16,40.25
892,ZR.ASYE,11.56,41.44
893,ZR.BIME,12.84,40.98
894,ZR.BTIE,11.19,40.02
895,ZR.DALE,14.124,40.19
896,ZR.DAME,11.69,40.96
897,ZR.ERTE,13.45,40.5
898,ZR.FINE,12.275,40.315
899,ZR.GALE,13.73,40.39
900,ZR.GPSE,13.49,40.53
901,ZR.GULE,13.69,39.59
902,ZR.HALE,13.84,40.01
903,ZR.HITE,13.1,40.32
904,ZR.IGRE,12.25,40.46
905,ZR.KOZE,12.49,40.98
906,ZR.LAVE,13.6,40.66
907,ZR.LULE,11.99,40.7
908,ZR.MAYE,12.3804,39.88555
909,ZR.SAHE,12.04,40.98
910,ZR.SEME,11.79,41.0
911,ZR.TRUE,12.79,40.315
