       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       28.86400        51.29500        35.90800        51.12600          2.62000      0.2      IB.AHRM      IB.CHTH
       24.06000        55.75000        24.94000        52.85000          2.26000      0.2       AE.ALN       AE.JRN
       24.06000        55.75000        25.37000        56.16000          2.73000      0.2       AE.ALN       AE.MSF
       24.06000        55.75000        26.05000        56.14000          2.73000      0.2       AE.ALN       AE.SHM
       24.06000        55.75000        25.53000        55.66000          2.53000      0.2       AE.ALN       AE.UMQ
       24.06000        55.75000        24.63000        55.33000          2.24500      0.2       AE.ALN       DN.ASU
       24.06000        55.75000        23.52000        45.50000          2.36000      0.2       AE.ALN      II.RAYN
       24.06000        55.75000        24.95000        56.20000          2.67500      0.2       AE.ALN      II.UOSS
       24.06000        55.75000        33.43000        59.02000          2.51000      0.2       AE.ALN      IR.AFRZ
       24.06000        55.75000        29.86000        57.54000          3.06000      0.2       AE.ALN      IR.CHMN
       24.06000        55.75000        33.79000        48.18000          2.66500      0.2       AE.ALN       IR.DOB
       24.06000        55.75000        27.40000        56.17000          2.84000      0.2       AE.ALN      IR.GENO
       24.06000        55.75000        27.67000        54.37000          1.98000      0.2       AE.ALN      IR.LAR1
       24.06000        55.75000        31.39000        60.05000          3.10000      0.2       AE.ALN      IR.NHDN
       24.06000        55.75000        36.39000        57.61000          3.12000      0.2       AE.ALN      IR.SBZV
       24.06000        55.75000        29.40000        60.81000          2.91000      0.2       AE.ALN      IR.ZHDN
       24.06000        55.75000        37.01000        35.75000          2.19000      0.2       AE.ALN      KO.CEYT
       24.34500        55.54000        35.88500        33.93000          2.37500      0.6       AE.ALN      KO.EREN
       24.06000        55.75000        25.30000        56.30000          2.77000      0.2       AE.ALN       OM.MDH
       24.06000        55.75000        23.76000        53.88000          2.40000      0.2       AE.ALN      UE.MZWR
       24.06000        55.75000        24.07000        51.69000          2.31000      0.2       AE.ALN      UE.SLWR
       24.06000        55.75000        22.71000        55.16000          2.34500      0.2       AE.ALN      UE.UMZA
       24.94000        52.85000        26.05000        56.14000          2.18000      0.2       AE.JRN       AE.SHM
       24.94000        52.85000        24.63000        55.33000          2.27500      0.2       AE.JRN       DN.ASU
       24.94000        52.85000        28.86000        51.30000          2.25000      0.2       AE.JRN      IB.AHRM
       24.94000        52.85000        23.52000        45.50000          2.51000      0.2       AE.JRN      II.RAYN
       24.94000        52.85000        31.67000        49.29000          2.18000      0.2       AE.JRN      IR.AMIS
       24.94000        52.85000        33.19000        53.73000          2.55000      0.2       AE.JRN      IR.ANAR
       24.94000        52.85000        27.45000        56.54000          2.13000      0.2       AE.JRN       IR.BNB
       24.94000        52.85000        27.40000        56.17000          2.15500      0.2       AE.JRN      IR.GENO
       24.94000        52.85000        28.50000        53.58000          2.31000      0.2       AE.JRN      IR.JHRM
       24.94000        52.85000        29.64000        56.73000          2.37500      0.2       AE.JRN      IR.NGRK
       24.94000        52.85000        29.64000        52.52000          2.39000      0.2       AE.JRN       IR.SHI
       24.94000        52.85000        33.21000        35.66000          2.29000      0.2       AE.JRN       IS.GEM
       24.94000        52.85000        41.25000        29.04000          2.13000      0.2       AE.JRN      KO.KLYT
       24.94000        52.85000        23.76000        53.88000          2.39500      0.2       AE.JRN      UE.MZWR
       24.94000        52.85000        24.07000        51.69000          2.56000      0.2       AE.JRN      UE.SLWR
       25.37000        56.16000        26.05000        56.14000          3.12500      0.2       AE.MSF       AE.SHM
       25.37000        56.16000        25.53000        55.66000          2.75000      0.2       AE.MSF       AE.UMQ
       25.37000        56.16000        24.63000        55.33000          2.37000      0.2       AE.MSF       DN.ASU
       25.33500        56.23000        41.76000        44.80000          2.30000      0.8       AE.MSF      GO.SEAG
       25.37000        56.16000        33.19000        53.73000          2.57000      0.2       AE.MSF      IR.ANAR
       25.37000        56.16000        27.45000        56.54000          2.29000      0.2       AE.MSF       IR.BNB
       25.37000        56.16000        28.50000        53.58000          2.31000      0.2       AE.MSF      IR.JHRM
       25.37000        56.16000        36.71000        49.80000          2.29000      0.2       AE.MSF      IR.JIR1
       25.37000        56.16000        35.91000        60.35000          2.89000      0.2       AE.MSF      IR.JRKH
       25.37000        56.16000        25.64000        57.77000          2.45000      0.2       AE.MSF      IR.JSK1
       25.37000        56.16000        30.38000        56.48000          2.44000      0.2       AE.MSF      IR.KHGB
       25.37000        56.16000        27.67000        54.37000          2.21000      0.2       AE.MSF      IR.LAR1
       25.37000        56.16000        25.36000        61.14000          2.46000      0.2       AE.MSF      IR.NGCH
       25.37000        56.16000        29.64000        56.73000          2.41500      0.2       AE.MSF      IR.NGRK
       25.37000        56.16000        33.03000        56.69000          2.55500      0.2       AE.MSF      IR.TPRV
       25.37000        56.16000        33.08667        35.49000          2.18333      0.1       AE.MSF       IS.GEM
       24.98818        56.19636        40.40273        30.24727          2.17909      0.3       AE.MSF      KO.CAVI
       25.57333        56.20000        39.05333        29.26667          2.36666      0.7       AE.MSF      KO.GEDZ
       25.37000        56.16000        24.07000        51.69000          2.10000      0.2       AE.MSF      UE.SLWR
       25.37000        56.16000        22.71000        55.16000          2.50500      0.2       AE.MSF      UE.UMZA
       26.05000        56.14000        25.53000        55.66000          2.36500      0.2       AE.SHM       AE.UMQ
       26.05000        56.14000        24.63000        55.33000          2.73500      0.2       AE.SHM       DN.ASU
       26.05000        56.14000        11.53000        42.85000          2.38000      0.2       AE.SHM        G.ATD
       26.05000        56.14000        24.95000        56.20000          3.03000      0.2       AE.SHM      II.UOSS
       26.05000        56.14000        30.60000        50.25000          2.82000      0.2       AE.SHM      IR.ABH1
       26.05000        56.14000        33.19000        53.73000          2.95000      0.2       AE.SHM      IR.ANAR
       26.05000        56.14000        27.45000        56.54000          2.02000      0.2       AE.SHM       IR.BNB
       26.05000        56.14000        29.86000        57.54000          2.45000      0.2       AE.SHM      IR.CHMN
       26.05000        56.14000        27.40000        56.17000          2.55000      0.2       AE.SHM      IR.GENO
       26.05000        56.14000        25.64000        57.77000          2.72000      0.2       AE.SHM      IR.JSK1
       26.05000        56.14000        29.14000        58.45000          2.38500      0.2       AE.SHM      IR.KBAM
       26.05000        56.14000        27.34000        53.16000          2.10000      0.2       AE.SHM      IR.LMD1
       26.05000        56.14000        29.64000        52.52000          2.45000      0.2       AE.SHM       IR.SHI
       26.05000        56.14000        35.00000        51.73000          2.74000      0.2       AE.SHM       IR.VRN
       26.05000        56.14000        29.36000        34.96000          2.13000      0.2       AE.SHM      JS.DRHJ
       26.05000        56.14000        36.90000        30.65000          2.05000      0.2       AE.SHM      KO.ANTB
       26.05000        56.14000        36.82000        28.65000          2.50000      0.2       AE.SHM      KO.DALY
       26.05000        56.14000        25.30000        56.30000          2.98000      0.2       AE.SHM       OM.MDH
       26.05000        56.14000        22.71000        55.16000          2.52000      0.2       AE.SHM      UE.UMZA
       25.53000        55.66000        24.63000        55.33000          2.61000      0.2       AE.UMQ       DN.ASU
       25.53000        55.66000        29.67000        34.95000          2.52000      0.2       AE.UMQ       GE.EIL
       25.53000        55.66000        42.59000        43.45000          2.62000      0.2       AE.UMQ       GO.ONI
       25.53000        55.66000        32.80000        52.81000          2.09000      0.2       AE.UMQ      IB.NASN
       25.53000        55.66000        24.95000        56.20000          2.52500      0.2       AE.UMQ      II.UOSS
       25.53000        55.66000        31.33000        48.64000          2.04000      0.2       AE.UMQ      IR.AHWZ
       25.53000        55.66000        27.45000        56.54000          2.35000      0.2       AE.UMQ       IR.BNB
       25.53000        55.66000        34.47000        47.86000          2.35000      0.2       AE.UMQ       IR.BZA
       25.53000        55.66000        29.86000        57.54000          2.25000      0.2       AE.UMQ      IR.CHMN
       25.53000        55.66000        27.40000        56.17000          2.32000      0.2       AE.UMQ      IR.GENO
       25.53000        55.66000        28.50000        53.58000          2.70000      0.2       AE.UMQ      IR.JHRM
       25.53000        55.66000        29.14000        58.45000          2.24500      0.2       AE.UMQ      IR.KBAM
       25.53000        55.66000        34.92000        46.96000          2.47500      0.2       AE.UMQ       IR.LIN
       25.53000        55.66000        35.00000        51.73000          2.69000      0.2       AE.UMQ       IR.VRN
       25.53000        55.66000        30.91000        34.40000          2.36000      0.2       AE.UMQ      IS.KZIT
       25.53000        55.66000        33.01000        35.40000          2.39000      0.2       AE.UMQ      IS.MMA4
       25.53000        55.66000        40.57000        28.87000          2.60500      0.2       AE.UMQ      KO.ARMT
       25.53000        55.66000        39.04000        29.41000          2.13000      0.2       AE.UMQ      KO.GEDZ
       25.53000        55.66000        35.11000        32.84000          2.30000      0.2       AE.UMQ       KO.LEF
       25.53000        55.66000        36.87000        34.52000          2.30000      0.2       AE.UMQ      KO.MERS
       25.53000        55.66000        38.51000        43.41000          2.78000      0.2       AE.UMQ      KO.VANB
       25.53000        55.66000        39.48000        71.80000          2.54000      0.2       AE.UMQ       KR.DRK
       25.53000        55.66000        43.10000        70.51000          2.56000      0.2       AE.UMQ      KZ.KKAR
       25.53000        55.66000        23.76000        53.88000          2.40000      0.2       AE.UMQ      UE.MZWR
       25.53000        55.66000        24.07000        51.69000          2.22000      0.2       AE.UMQ      UE.SLWR
        9.03000        38.77000         9.58000        39.74000          2.84500      0.2      AF.AAUS      AF.ANKE
        9.03167        38.76900        11.11933        39.63503          2.82333      0.1      AF.AAUS      AF.DESE
        8.96505        38.72315        41.44580        46.11830          2.86500      0.5      AF.AAUS      GO.DDFL
        9.03490        38.76650        28.86400        51.29500          2.37000      0.2      AF.AAUS      IB.AHRM
        8.98670        38.73877        27.39993        56.17147          2.74000      0.3      AF.AAUS      IB.BNDS
        9.03000        38.77000        35.63000        51.97000          2.55000      0.2      AF.AAUS      IB.DAMV
        8.94013        38.70987        36.25033        43.46510          2.44000      0.6      AF.AAUS       IQ.MSL
        9.03490        38.76650        29.86080        57.53950          2.45000      0.2      AF.AAUS      IR.CHMN
        9.03490        38.76650        35.90790        60.34940          2.69000      0.2      AF.AAUS      IR.JRKH
        9.03490        38.76650        31.39280        60.05020          2.72000      0.2      AF.AAUS      IR.NHDN
        9.03490        38.76650        39.82670        26.32580          2.72000      0.2      AF.AAUS       KO.EZN
        9.03000        38.77000        36.96000        32.49000          2.23000      0.2      AF.AAUS      KO.HDMB
        9.03000        38.77000        40.39000        69.67000          2.70000      0.2      AF.AAUS     TJ.CHRDR
        8.96500        38.72500        12.78000        44.98000          2.68000      0.0      AF.AAUS      XW.ADEN
        8.96500        38.72500        15.00000        48.97000          2.52500      0.3      AF.AAUS      XW.ADUA
        8.98667        38.74000        15.47000        43.30667          2.71000      0.2      AF.AAUS      XW.ANID
        8.94333        38.71000        13.67000        44.77333          2.62000      0.3      AF.AAUS      XW.DALA
        9.03000        38.77000        14.09000        44.68000          2.78000      0.2      AF.AAUS      XW.DAMT
        9.03000        38.77000        16.68500        51.95500          2.56500      0.0      AF.AAUS      XW.DERU
        8.98667        38.74000        13.13000        44.84000          2.76333      0.1      AF.AAUS      XW.DKUM
        8.94333        38.71000        18.46667        56.02000          2.75000      0.1      AF.AAUS      XW.GASH
        8.94333        38.71000        19.18333        56.48333          2.41666      0.5      AF.AAUS      XW.GBRA
        9.03000        38.77000        16.52500        49.51500          2.31500      0.6      AF.AAUS      XW.GEAN
        8.96500        38.72500        13.06000        44.88000          2.73500      0.0      AF.AAUS      XW.HOTA
        8.96500        38.72500        17.16000        51.93000          2.80000      0.0      AF.AAUS      XW.KARE
        9.03000        38.77000        16.49000        52.57000          2.30000      0.2      AF.AAUS      XW.LUSA
        8.96500        38.72500        16.21000        51.40000          2.75000      0.1      AF.AAUS      XW.MADQ
        9.03000        38.77000        15.47500        43.62000          2.75000      0.1      AF.AAUS      XW.MAWI
        8.96500        38.72500        13.31000        43.26000          2.84000      0.1      AF.AAUS      XW.MOKA
        8.98667        38.74000        14.78667        44.32667          2.78333      0.1      AF.AAUS      XW.RUSA
        9.03000        38.77000        15.75000        48.83000          2.69000      0.0      AF.AAUS      XW.SAAH
        8.96500        38.72500        15.40750        44.13250          2.77750      0.0      AF.AAUS      XW.SANA
        8.94333        38.71000        16.11000        49.18667          2.63666      0.1      AF.AAUS      XW.SAUM
        8.94333        38.71000        15.88000        48.85000          2.66500      0.0      AF.AAUS      XW.SEYU
        8.96500        38.72500        15.49000        43.81500          2.56000      0.2      AF.AAUS      XW.SHIB
        8.96500        38.72500        14.80000        43.44000          2.72500      0.0      AF.AAUS      XW.SUGH
        8.96500        38.72500        14.94000        44.28000          2.80000      0.2      AF.AAUS      XW.YSLE
        8.97091        38.72909        40.34909        30.30545          2.28000      0.4      AF.AAUS      YH.DA01
        8.96000        38.72154        40.60385        30.33000          2.39384      0.5      AF.AAUS      YH.DB05
        8.92600        38.69800        40.83300        30.29300          2.19350      0.6      AF.AAUS      YH.DC10
        8.94013        38.70987        40.83400        33.57300          2.39666      0.5      AF.AAUS      YL.ALIC
        8.96260        38.72490        39.74150        34.34900          2.34000      0.1      AF.AAUS      YL.GOCE
        8.96260        38.72490        41.01400        35.15000          2.26000      0.5      AF.AAUS      YL.OGUR
        8.96260        38.72490        31.21012        35.48365          2.52750      0.5      AF.AAUS      Z4.JB02
        8.94333        38.71000        13.20000        40.86000          2.75666      0.0      AF.AAUS      ZE.AFME
        9.03000        38.77000        12.07000        40.07000          2.88000      0.2      AF.AAUS      ZE.AWEE
        9.03000        38.77000        12.64000        40.36000          2.82500      0.2      AF.AAUS      ZE.BARE
        8.94333        38.71000        12.17000        41.19000          2.88166      0.0      AF.AAUS      ZE.BERE
        9.03000        38.77000        11.60000        40.02000          2.96500      0.2      AF.AAUS      ZE.CHIE
        9.03045        38.76973        11.72295        40.97039          2.91550      0.0      AF.AAUS      ZE.DAME
        9.03000        38.77000        12.33000        40.27000          2.85000      0.2      AF.AAUS      ZE.DIGE
        9.03000        38.77000        12.07000        40.32000          2.86750      0.0      AF.AAUS      ZE.FINE
        9.03000        38.77000        11.61000        40.88000          2.89000      0.2      AF.AAUS      ZE.HARE
        9.03000        38.77000        11.39667        40.74333          2.88833      0.0      AF.AAUS      ZE.MILE
        8.96500        38.72500        12.84000        40.98000          2.72500      0.2      AF.AAUS      ZE.RODE
        9.03000        38.77000        12.04000        40.98000          2.83250      0.0      AF.AAUS      ZE.SEHE
        9.03100        38.76940        11.78850        41.00686          2.91600      0.0      AF.AAUS      ZE.SEME
        8.96500        38.72500        12.41000        41.19000          2.86000      0.2      AF.AAUS      ZE.SILE
        9.03000        38.77000        12.48000        40.31500          2.83500      0.0      AF.AAUS      ZE.TRUE
        8.96500        38.72500        13.35000        39.76000          2.87625      0.0      AF.AAUS      ZF.ABAE
        9.03000        38.77000        11.12000        40.76000          2.83000      0.2      AF.AAUS      ZF.ADTE
        8.96500        38.72500        13.63000        38.98000          2.92500      0.0      AF.AAUS      ZF.ADYE
