       lat_sta1        lon_sta1        lat_sta2        lon_sta2            vg        err-vg     sta1         sta2
       24.06000        55.75000        24.94000        52.85000          2.77000      0.1       AE.ALN       AE.JRN
       24.34500        55.54000        11.53000        42.85000          3.50750      0.0       AE.ALN        G.ATD
       24.06000        55.75000        36.72000        25.49500          3.37500      0.0       AE.ALN       GE.APE
       24.25000        55.61000        35.11667        33.23333          3.32833      0.1       AE.ALN       GE.CSS
       24.06000        55.75000        29.85500        34.99000          3.48250      0.1       AE.ALN       GE.EIL
       24.06000        55.75000        36.37000        25.46000          3.35000      0.1       AE.ALN      GE.SANT
       24.06000        55.75000        35.11000        26.22000          3.33000      0.1       AE.ALN       GE.ZKR
       24.06000        55.75000        41.41000        43.49000          2.89000      0.1       AE.ALN       GO.AKH
       24.34500        55.54000        42.52500        43.96500          3.09500      0.0       AE.ALN      GO.GUDG
       24.25000        55.61000        36.58667        28.11667          3.21333      0.2       AE.ALN       HL.ARG
       24.06000        55.75000        28.86000        51.30000          2.92500      0.1       AE.ALN      IB.AHRM
       24.06000        55.75000        32.80000        52.81000          2.96000      0.1       AE.ALN      IB.NASN
       24.06000        55.75000        23.52000        45.50000          3.38000      0.1       AE.ALN      II.RAYN
       24.06000        55.75000        31.33000        48.64000          2.96000      0.1       AE.ALN      IR.AHWZ
       24.06000        55.75000        33.19000        53.73000          2.86000      0.1       AE.ALN      IR.ANAR
       24.06000        55.75000        29.86000        57.54000          3.22000      0.1       AE.ALN      IR.CHMN
       24.06000        55.75000        34.70000        46.39000          2.68000      0.1       AE.ALN       IR.DHR
       24.06000        55.75000        27.40000        56.17000          2.83500      0.1       AE.ALN      IR.GENO
       24.06000        55.75000        35.44000        51.28000          3.02000      0.1       AE.ALN       IR.HSB
       24.06000        55.75000        29.14000        58.45000          2.78000      0.1       AE.ALN      IR.KBAM
       24.06000        55.75000        34.27000        47.04000          2.71000      0.1       AE.ALN      IR.KCHF
       24.06000        55.75000        33.97000        52.14000          3.06000      0.1       AE.ALN      IR.KRSH
       24.06000        55.75000        25.36000        61.14000          3.00000      0.1       AE.ALN      IR.NGCH
       24.06000        55.75000        29.64000        56.73000          2.72000      0.1       AE.ALN      IR.NGRK
       24.06000        55.75000        34.35000        52.24000          2.97000      0.1       AE.ALN       IR.SFB
       24.06000        55.75000        27.40000        62.40000          2.83000      0.1       AE.ALN      IR.SRVN
       24.06000        55.75000        31.53000        34.92000          3.46000      0.1       AE.ALN      IS.AMAZ
       24.06000        55.75000        30.91000        34.40000          3.32500      0.1       AE.ALN      IS.KZIT
       24.06000        55.75000        32.96364        35.40545          3.36700      0.0       AE.ALN      IS.MMA0
       24.06000        55.75000        34.54000        69.04000          3.60000      0.1       AE.ALN       IU.KBL
       24.06000        55.75000        38.33000        42.98000          3.23000      0.1       AE.ALN      KO.AKDM
       24.34500        55.54000        36.82500        30.28000          3.25500      0.0       AE.ALN      KO.ANTB
       24.06000        55.75000        37.95000        27.89000          3.21000      0.1       AE.ALN      KO.AYDB
       24.06000        55.75000        38.99000        40.68000          3.35000      0.1       AE.ALN      KO.BNGB
       24.06000        55.75000        37.06000        27.31000          3.35000      0.1       AE.ALN      KO.BODT
       24.06000        55.75000        41.96000        34.00000          3.20000      0.1       AE.ALN       KO.BZK
       24.06000        55.75000        36.79000        35.56500          2.76500      0.3       AE.ALN      KO.CEYT
       24.06000        55.75000        41.24000        28.51000          3.26000      0.1       AE.ALN      KO.CTKS
